reference_date,row_count
2021-01-01,12409
2021-04-01,12465
2021-07-01,12504
2021-10-01,12521
2022-01-01,12511
2022-04-01,12539
2022-07-01,12561
2022-10-01,12567
2023-01-01,12579
2023-04-01,12594
2023-07-01,12586
2023-10-01,12596
2024-01-01,12608
2024-04-01,12593
2024-07-01,12556
2024-10-01,12533
2025-01-01,12515
2025-04-01,12499
